Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
FONTENAY SOUS BOIS; 427000; 65; 0; 3; 20/05/2017 23:12:15; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2189&mt=02340&menu=2
NOGENT SUR MARNE; 440000; 71; 0; 3; 20/05/2017 23:12:15; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2301&mt=02230&menu=2
FONTENAY SOUS BOIS; 445000; 98; 0; 4; 20/05/2017 23:12:15; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2276&mt=02314&menu=2
FONTENAY SOUS BOIS; 450000; 100; 0; 5; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2195&mt=mais3&menu=2
FONTENAY SOUS BOIS; 455000; 120; 0; 5; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2294&mt=titotiuu&menu=2
FONTENAY SOUS BOIS; 464000; 106; 0; 4; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2073&mt=P2001&menu=2
FONTENAY SOUS BOIS; 477000; 80; 0; 4; 20/05/2017 23:12:16; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2262&mt=02305&menu=2
FONTENAY SOUS BOIS; 549000; 90; 0; 5; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2248&mt=Z2&menu=2
FONTENAY SOUS BOIS; 632000; 120; 0; 5; 20/05/2017 23:12:16; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2280&mt=02294&menu=2
BAGNOLET; 639000; 142; 0; 5; 20/05/2017 23:12:16; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=768&mt=LOFT&menu=2
